# XviD 2pass stat file (core version 1.3.2)
# Please do not modify this file

p 2 0 378 18 10396 569
b 4 0 396 0 1627 353
b 4 0 396 0 1675 361
p 2 0 374 22 10458 551
b 4 0 396 0 1978 465
b 4 0 396 0 1959 471
p 2 0 394 2 14273 631
b 4 0 396 0 1583 370
b 4 0 396 0 1522 363
p 2 0 388 8 9815 575
b 4 0 396 0 1588 363
b 4 0 396 0 1602 371
p 2 0 381 15 10335 562
b 4 0 396 0 1436 373
b 4 0 396 0 1456 361
p 2 0 379 17 9831 551
b 4 0 396 0 1743 468
b 4 0 396 0 1860 460
p 2 0 394 2 13156 613
b 4 0 396 0 1404 322
b 4 0 396 0 1314 292
p 2 0 394 2 9586 574
b 4 0 396 0 1489 344
b 4 0 396 0 1651 423
p 2 0 392 4 10679 608
b 4 0 396 0 1386 345
b 4 0 396 0 1358 349
p 2 0 391 5 9853 586
b 4 0 396 0 1599 444
b 4 0 396 0 1715 457
p 2 0 394 2 12752 623
b 4 0 396 0 1383 374
b 4 0 396 0 1329 356
p 2 0 392 4 9348 576
b 4 0 396 0 1432 335
b 4 0 396 0 1457 377
p 2 0 381 15 9807 563
b 4 0 396 0 1493 332
b 4 0 396 0 1617 351
p 2 0 384 12 10009 563
b 4 0 396 0 1858 450
b 4 0 396 0 1930 446
p 2 0 396 0 13398 625
b 4 0 396 0 1652 358
b 4 0 396 0 1608 349
p 2 0 387 9 9612 572
b 4 0 396 0 1505 347
b 4 0 396 0 1473 342
p 2 0 373 23 9722 566
b 4 0 396 0 1408 321
b 4 0 396 0 1306 327
p 2 0 372 24 9498 560
b 4 0 396 0 1525 452
b 4 0 396 0 1928 474
p 2 0 396 0 12356 623
b 4 0 396 0 1376 365
b 4 0 396 0 1404 381
p 2 0 389 7 9212 581
b 4 0 396 0 1262 354
b 4 0 396 0 1323 354
p 2 0 375 21 9441 560
b 4 0 396 0 1344 357
b 4 0 396 0 1272 345
p 2 0 379 17 9475 561
b 4 0 396 0 1565 452
b 4 0 396 0 1762 454
p 2 0 395 1 12557 622
b 4 0 396 0 1394 360
b 4 0 396 0 1321 359
p 2 0 389 7 9289 573
b 4 0 396 0 1356 345
b 4 0 396 0 1389 363
p 2 0 385 11 9710 570
b 4 0 396 0 1345 352
b 4 0 396 0 1382 379
p 2 0 383 13 9697 563
b 4 0 396 0 1784 453
b 4 0 396 0 2072 469
p 2 0 394 2 13123 627
b 4 0 396 0 1615 385
b 4 0 396 0 1514 383
p 2 0 390 6 9612 576
b 4 0 396 0 1598 330
b 4 0 396 0 1672 369
p 2 0 385 11 10206 572
b 4 0 396 0 1731 349
b 4 0 396 0 1704 345
p 2 0 377 19 10093 561
b 4 0 396 0 1907 435
b 4 0 396 0 2156 467
p 2 0 394 2 13634 633
b 4 0 396 0 1713 345
b 4 0 396 0 1674 343
